Date : 2026-04-21 18:50:57
Directory : d:\AAAAAAAAAAA\TestA\frontend
Total : 244 files,  18658 codes, -548 comments, 319 blanks, all 18429 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| vue                |         46 |     13,716 |         45 |      1,628 |     15,389 |
| JSON               |          7 |     12,120 |          0 |         10 |     12,130 |
| TypeScript         |         25 |      1,229 |         97 |        227 |      1,553 |
| JavaScript         |          3 |        256 |          0 |         55 |        311 |
| PostCSS            |          2 |        145 |          5 |         25 |        175 |
| JSON with Comments |          2 |         18 |          0 |          2 |         20 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| Properties         |          1 |         -3 |          0 |         -1 |         -4 |
| Batch              |          3 |         -8 |          0 |         -3 |        -11 |
| YAML               |          2 |        -96 |         -2 |        -18 |       -116 |
| XML                |          6 |       -131 |         -1 |        -13 |       -145 |
| PowerShell         |          4 |       -488 |         -9 |        -37 |       -534 |
| MS SQL             |          2 |     -2,166 |       -182 |       -160 |     -2,508 |
| Java               |        140 |     -5,947 |       -501 |     -1,397 |     -7,845 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                   |        244 |     18,658 |       -548 |        319 |     18,429 |
| . (Files)                                                                                                           |         14 |     12,256 |         63 |         38 |     12,357 |
| ..                                                                                                                  |        157 |     -8,840 |       -695 |     -1,630 |    -11,165 |
| ..\backend                                                                                                          |        157 |     -8,840 |       -695 |     -1,630 |    -11,165 |
| ..\backend (Files)                                                                                                  |          8 |       -571 |        -10 |        -54 |       -635 |
| ..\backend\.idea                                                                                                    |          4 |        -57 |          0 |          0 |        -57 |
| ..\backend\src                                                                                                      |        142 |     -7,078 |       -593 |     -1,486 |     -9,157 |
| ..\backend\src\main                                                                                                 |        142 |     -7,078 |       -593 |     -1,486 |     -9,157 |
| ..\backend\src\main\java                                                                                            |        140 |     -5,947 |       -501 |     -1,397 |     -7,845 |
| ..\backend\src\main\java\com                                                                                        |        140 |     -5,947 |       -501 |     -1,397 |     -7,845 |
| ..\backend\src\main\java\com\campus                                                                                 |        140 |     -5,947 |       -501 |     -1,397 |     -7,845 |
| ..\backend\src\main\java\com\campus\learningspace                                                                   |        140 |     -5,947 |       -501 |     -1,397 |     -7,845 |
| ..\backend\src\main\java\com\campus\learningspace (Files)                                                           |          1 |        -14 |          0 |         -5 |        -19 |
| ..\backend\src\main\java\com\campus\learningspace\common                                                            |          2 |        -36 |         -3 |        -10 |        -49 |
| ..\backend\src\main\java\com\campus\learningspace\config                                                            |          6 |        -92 |         -6 |        -28 |       -126 |
| ..\backend\src\main\java\com\campus\learningspace\controller                                                        |         23 |     -2,089 |       -103 |       -379 |     -2,571 |
| ..\backend\src\main\java\com\campus\learningspace\dto                                                               |          4 |        -94 |         -8 |        -21 |       -123 |
| ..\backend\src\main\java\com\campus\learningspace\entity                                                            |         45 |       -972 |       -208 |       -488 |     -1,668 |
| ..\backend\src\main\java\com\campus\learningspace\mapper                                                            |         28 |       -652 |        -41 |       -134 |       -827 |
| ..\backend\src\main\java\com\campus\learningspace\service                                                           |         28 |     -1,825 |       -131 |       -309 |     -2,265 |
| ..\backend\src\main\java\com\campus\learningspace\task                                                              |          1 |        -12 |          0 |         -5 |        -17 |
| ..\backend\src\main\java\com\campus\learningspace\ws                                                                |          2 |       -161 |         -1 |        -18 |       -180 |
| ..\backend\src\main\resources                                                                                       |          2 |     -1,131 |        -92 |        -89 |     -1,312 |
| ..\backend\src\main\resources (Files)                                                                               |          1 |        -48 |         -1 |         -9 |        -58 |
| ..\backend\src\main\resources\sql                                                                                   |          1 |     -1,083 |        -91 |        -80 |     -1,254 |
| ..\backend\target                                                                                                   |          3 |     -1,134 |        -92 |        -90 |     -1,316 |
| ..\backend\target\classes                                                                                           |          2 |     -1,131 |        -92 |        -89 |     -1,312 |
| ..\backend\target\classes (Files)                                                                                   |          1 |        -48 |         -1 |         -9 |        -58 |
| ..\backend\target\classes\sql                                                                                       |          1 |     -1,083 |        -91 |        -80 |     -1,254 |
| ..\backend\target\maven-archiver                                                                                    |          1 |         -3 |          0 |         -1 |         -4 |
| e2e                                                                                                                 |          2 |          9 |          2 |          3 |         14 |
| electron                                                                                                            |          3 |        256 |          0 |         55 |        311 |
| src                                                                                                                 |         68 |     14,977 |         82 |      1,853 |     16,912 |
| src (Files)                                                                                                         |          2 |         70 |          0 |         13 |         83 |
| src\api                                                                                                             |         12 |        813 |         24 |        165 |      1,002 |
| src\assets                                                                                                          |          3 |        146 |          5 |         26 |        177 |
| src\components                                                                                                      |          9 |        249 |          1 |         40 |        290 |
| src\components (Files)                                                                                              |          3 |        194 |          0 |         32 |        226 |
| src\components\__tests__                                                                                            |          1 |          9 |          0 |          3 |         12 |
| src\components\icons                                                                                                |          5 |         46 |          1 |          5 |         52 |
| src\router                                                                                                          |          1 |        178 |          0 |          3 |        181 |
| src\stores                                                                                                          |          2 |         59 |          0 |         11 |         70 |
| src\utils                                                                                                           |          2 |         44 |          8 |         11 |         63 |
| src\views                                                                                                           |         37 |     13,418 |         44 |      1,584 |     15,046 |
| src\views (Files)                                                                                                   |         26 |     11,228 |         38 |      1,333 |     12,599 |
| src\views\admin                                                                                                     |         11 |      2,190 |          6 |        251 |      2,447 |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                            | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\AAAAAAAAAAA\TestA\backend\.idea\compiler.xml                                                                     | XML                |        -19 |          0 |          0 |        -19 |
| d:\AAAAAAAAAAA\TestA\backend\.idea\encodings.xml                                                                    | XML                |         -6 |          0 |          0 |         -6 |
| d:\AAAAAAAAAAA\TestA\backend\.idea\jarRepositories.xml                                                              | XML                |        -20 |          0 |          0 |        -20 |
| d:\AAAAAAAAAAA\TestA\backend\.idea\misc.xml                                                                         | XML                |        -12 |          0 |          0 |        -12 |
| d:\AAAAAAAAAAA\TestA\backend\init_db.bat                                                                            | Batch              |         -2 |          0 |         -1 |         -3 |
| d:\AAAAAAAAAAA\TestA\backend\init_db.cmd                                                                            | Batch              |         -2 |          0 |         -1 |         -3 |
| d:\AAAAAAAAAAA\TestA\backend\init_db.ps1                                                                            | PowerShell         |       -233 |         -1 |        -14 |       -248 |
| d:\AAAAAAAAAAA\TestA\backend\init_db_final.ps1                                                                      | PowerShell         |        -16 |         -3 |         -4 |        -23 |
| d:\AAAAAAAAAAA\TestA\backend\init_db_interactive.ps1                                                                | PowerShell         |       -237 |         -4 |        -18 |       -259 |
| d:\AAAAAAAAAAA\TestA\backend\init_db_simple.cmd                                                                     | Batch              |         -4 |          0 |         -1 |         -5 |
| d:\AAAAAAAAAAA\TestA\backend\init_db_simple.ps1                                                                     | PowerShell         |         -2 |         -1 |         -1 |         -4 |
| d:\AAAAAAAAAAA\TestA\backend\pom.xml                                                                                | XML                |        -75 |         -1 |        -14 |        -90 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\CampusLearningSpaceApplication.java             | Java               |        -14 |          0 |         -5 |        -19 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\common\ReservationRuleException.java            | Java               |         -6 |         -3 |         -3 |        -12 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\common\Result.java                              | Java               |        -30 |          0 |         -7 |        -37 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\config\CorsConfig.java                          | Java               |        -16 |          0 |         -4 |        -20 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\config\GlobalExceptionHandler.java              | Java               |        -15 |          0 |         -4 |        -19 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\config\MyBatisConfig.java                       | Java               |        -13 |          0 |         -5 |        -18 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\config\MyMetaObjectHandler.java                 | Java               |        -21 |          0 |         -6 |        -27 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\config\ReservationProperties.java               | Java               |         -9 |         -6 |         -5 |        -20 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\config\WebSocketConfig.java                     | Java               |        -18 |          0 |         -4 |        -22 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\AdminAuthController.java             | Java               |       -101 |          0 |        -20 |       -121 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\AdminBuildingController.java         | Java               |       -160 |         -1 |        -22 |       -183 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\AdminClassroomController.java        | Java               |       -160 |         -2 |        -25 |       -187 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\AdminCourseController.java           | Java               |       -169 |         -1 |        -23 |       -193 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\AdminMarketAuditController.java      | Java               |        -62 |          0 |        -11 |        -73 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\AdminRepairController.java           | Java               |       -109 |         -4 |        -18 |       -131 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\AdminReservationLimitController.java | Java               |        -45 |          0 |         -8 |        -53 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\AdminReviewController.java           | Java               |        -85 |          0 |        -13 |        -98 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\AdminScanDeviceController.java       | Java               |        -82 |        -11 |        -19 |       -112 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\BuildingController.java              | Java               |        -34 |          0 |        -10 |        -44 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\ClassroomController.java             | Java               |        -48 |         -3 |        -13 |        -64 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\ClassroomFeedbackController.java     | Java               |       -290 |        -20 |        -59 |       -369 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\LibraryController.java               | Java               |        -18 |          0 |         -7 |        -25 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\LibrarySeatController.java           | Java               |        -19 |          0 |         -7 |        -26 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\RepairController.java                | Java               |        -68 |         -1 |        -10 |        -79 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\ReservationController.java           | Java               |        -83 |        -23 |        -18 |       -124 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\ResourceMarketController.java        | Java               |        -78 |          0 |        -16 |        -94 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\ReviewController.java                | Java               |        -45 |          0 |        -11 |        -56 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\ScanDeviceAuthorizeController.java   | Java               |        -37 |         -4 |        -11 |        -52 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\StudyPlanController.java             | Java               |        -52 |         -5 |        -14 |        -71 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\TeamChatController.java              | Java               |       -154 |          0 |        -12 |       -166 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\TeamController.java                  | Java               |       -148 |        -28 |        -25 |       -201 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\UserController.java                  | Java               |        -42 |          0 |         -7 |        -49 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\dto\CreateStudyPlanDTO.java                     | Java               |        -17 |         -5 |         -5 |        -27 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\dto\ReservationLimitUpdateDTO.java              | Java               |         -7 |          0 |         -3 |        -10 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\dto\ReservationLimitVO.java                     | Java               |        -11 |          0 |         -3 |        -14 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\dto\TeamChatDtos.java                           | Java               |        -59 |         -3 |        -10 |        -72 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\AdminBuildingVO.java                     | Java               |        -12 |         -3 |         -5 |        -20 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\AdminClassroomVO.java                    | Java               |        -19 |         -6 |         -8 |        -33 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\AdminCourseVO.java                       | Java               |        -16 |         -3 |         -7 |        -26 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\AdminLoginResponse.java                  | Java               |        -10 |         -3 |         -4 |        -17 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\AdminMenu.java                           | Java               |        -20 |         -6 |        -12 |        -38 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\AdminOperationLog.java                   | Java               |        -18 |         -3 |        -11 |        -32 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\AdminOverviewVO.java                     | Java               |         -8 |         -3 |         -4 |        -15 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\AdminPermission.java                     | Java               |        -19 |          0 |        -11 |        -30 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\AdminRepairStatusUpdateRequest.java      | Java               |         -7 |         -6 |         -5 |        -18 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\AdminRepairVO.java                       | Java               |        -22 |         -3 |        -10 |        -35 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\AdminReviewAuditRequest.java             | Java               |         -7 |         -6 |         -5 |        -18 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\AdminReviewVO.java                       | Java               |        -16 |         -6 |        -10 |        -32 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\AdminRole.java                           | Java               |        -19 |         -6 |        -11 |        -36 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\AdminRolePermission.java                 | Java               |        -15 |          0 |         -8 |        -23 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\Building.java                            | Java               |        -25 |         -3 |        -14 |        -42 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\CampusCredit.java                        | Java               |        -18 |          0 |         -6 |        -24 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\Classroom.java                           | Java               |        -31 |          0 |        -20 |        -51 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\ClassroomDetailVO.java                   | Java               |        -11 |         -7 |         -4 |        -22 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\ClassroomFeedback.java                   | Java               |        -29 |        -12 |        -19 |        -60 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\Course.java                              | Java               |        -25 |          0 |        -14 |        -39 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\Library.java                             | Java               |        -25 |          0 |        -17 |        -42 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\LibrarySeat.java                         | Java               |        -28 |         -9 |        -20 |        -57 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\Notification.java                        | Java               |        -23 |          0 |        -13 |        -36 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\Repair.java                              | Java               |        -28 |         -1 |        -18 |        -47 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\RepairVO.java                            | Java               |        -21 |         -6 |         -5 |        -32 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\Reservation.java                         | Java               |        -37 |        -23 |        -24 |        -84 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\ReservationLimitConfig.java              | Java               |        -15 |          0 |         -8 |        -23 |
